رقم القيد الأصلي (قيود),التاريخ,البيان,رقم الحساب القديم,اسم الحساب,مدين,دائن,ملاحظة السطر
4,2024-03-30,قيد يدوي رقم 4 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,30000.0,,
4,2024-03-30,قيد يدوي رقم 4 - أنشئ بواسطة محاسب ارمي,1107,شركة يسم للتجارة,,30000.0,
14,2024-04-04,قيد يدوي رقم 14 - أنشئ بواسطة محاسب ارمي,110201,حساب البنك الاهلي 12300001016808,500000.0,,
14,2024-04-04,قيد يدوي رقم 14 - أنشئ بواسطة محاسب ارمي,3201,جاري الشريك بدر القرني,,500000.0,
5,2024-04-21,قيد يدوي رقم 5 - أنشئ بواسطة محاسب ارمي,1205,مصاريف التاسيس,86.25,,
5,2024-04-21,قيد يدوي رقم 5 - أنشئ بواسطة محاسب ارمي,110201,حساب البنك الاهلي 12300001016808,,11.25,
5,2024-04-21,قيد يدوي رقم 5 - أنشئ بواسطة محاسب ارمي,110201,حساب البنك الاهلي 12300001016808,,75.0,
8,2024-04-21,قيد يدوي رقم 8 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,140000.0,,
8,2024-04-21,قيد يدوي رقم 8 - أنشئ بواسطة محاسب ارمي,110201,حساب البنك الاهلي 12300001016808,,140000.0,
69,2024-05-01,قيد يدوي رقم 69 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,35096.37,,
69,2024-05-01,قيد يدوي رقم 69 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,35096.37,
20,2024-05-02,قيد يدوي رقم 20 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,165000.0,,
20,2024-05-02,قيد يدوي رقم 20 - أنشئ بواسطة محاسب ارمي,1107,شركة يسم للتجارة,,165000.0,
15,2024-05-20,قيد يدوي رقم 15 - أنشئ بواسطة محاسب ارمي,110201,حساب البنك الاهلي 12300001016808,150000.0,,
15,2024-05-20,قيد يدوي رقم 15 - أنشئ بواسطة محاسب ارمي,3201,جاري الشريك بدر القرني,,150000.0,
9,2024-05-21,قيد يدوي رقم 9 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,150000.0,,
9,2024-05-21,قيد يدوي رقم 9 - أنشئ بواسطة محاسب ارمي,110201,حساب البنك الاهلي 12300001016808,,150000.0,
71,2024-05-21,قيد يدوي رقم 71 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,1600.0,,
71,2024-05-21,قيد يدوي رقم 71 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,1600.0,
67,2024-06-01,قيد يدوي رقم 67 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,1234.0,,
67,2024-06-01,قيد يدوي رقم 67 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,1234.0,
66,2024-06-05,قيد يدوي رقم 66 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,3900.0,,
66,2024-06-05,قيد يدوي رقم 66 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,3900.0,
