رقم القيد الأصلي (قيود),التاريخ,البيان,رقم الحساب القديم,اسم الحساب,مدين,دائن,ملاحظة السطر
339,2025-09-04,قيد يدوي رقم 339 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,500.0,,
339,2025-09-04,قيد يدوي رقم 339 - أنشئ بواسطة Kashif Ali,110102,عهدة سالم,,266.0,
339,2025-09-04,قيد يدوي رقم 339 - أنشئ بواسطة Kashif Ali,3202,جاري الشريك سالم بالحارث,,234.0,
340,2025-09-06,قيد يدوي رقم 340 - أنشئ بواسطة Kashif Ali,5216,مصاريف صيانه عامه بالمصنع,985.0,,
340,2025-09-06,قيد يدوي رقم 340 - أنشئ بواسطة Kashif Ali,3202,جاري الشريك سالم بالحارث,,985.0,
343,2025-09-06,قيد يدوي رقم 343 - أنشئ بواسطة Kashif Ali,5219,مصروف نقل ومواصلات,6800.0,,
343,2025-09-06,قيد يدوي رقم 343 - أنشئ بواسطة Kashif Ali,3202,جاري الشريك سالم بالحارث,,6800.0,
346,2025-09-06,قيد يدوي رقم 346 - أنشئ بواسطة Kashif Ali,5102,رواتب وأجور,3000.0,,
346,2025-09-06,قيد يدوي رقم 346 - أنشئ بواسطة Kashif Ali,3202,جاري الشريك سالم بالحارث,,3000.0,
344,2025-09-07,قيد يدوي رقم 344 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,500.0,,
344,2025-09-07,قيد يدوي رقم 344 - أنشئ بواسطة Kashif Ali,3202,جاري الشريك سالم بالحارث,,500.0,
345,2025-09-07,قيد يدوي رقم 345 - أنشئ بواسطة Kashif Ali,1204,مشروعات تحت التنفيذ,15000.0,,
345,2025-09-07,قيد يدوي رقم 345 - أنشئ بواسطة Kashif Ali,1204,مشروعات تحت التنفيذ,5000.0,,
345,2025-09-07,قيد يدوي رقم 345 - أنشئ بواسطة Kashif Ali,3202,جاري الشريك سالم بالحارث,,15000.0,
345,2025-09-07,قيد يدوي رقم 345 - أنشئ بواسطة Kashif Ali,3202,جاري الشريك سالم بالحارث,,5000.0,
347,2025-09-07,قيد يدوي رقم 347 - أنشئ بواسطة Kashif Ali,5206,تذاكر سفر,113.04,,
347,2025-09-07,قيد يدوي رقم 347 - أنشئ بواسطة Kashif Ali,2105,ضريبة القيمة المضافة المستحقة,16.96,,Invoice No. 1673
347,2025-09-07,قيد يدوي رقم 347 - أنشئ بواسطة Kashif Ali,3202,جاري الشريك سالم بالحارث,,130.0,Invoice No. 1673
348,2025-09-07,قيد يدوي رقم 348 - أنشئ بواسطة Kashif Ali,5105,مصاريف وقود سيارات للموظفين,100.0,,
348,2025-09-07,قيد يدوي رقم 348 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,100.0,
349,2025-09-08,قيد يدوي رقم 349 - أنشئ بواسطة Kashif Ali,5101,تكلفة البضائع المباعة الأجزاء,25000.0,,
349,2025-09-08,قيد يدوي رقم 349 - أنشئ بواسطة Kashif Ali,1107,شركة يسم للتجارة,,25000.0,
350,2025-09-08,قيد يدوي رقم 350 - أنشئ بواسطة Kashif Ali,5101,تكلفة البضائع المباعة الأجزاء,500.0,,
350,2025-09-08,قيد يدوي رقم 350 - أنشئ بواسطة Kashif Ali,3202,جاري الشريك سالم بالحارث,,500.0,
351,2025-09-09,قيد يدوي رقم 351 - أنشئ بواسطة Kashif Ali,5216,مصاريف صيانه عامه بالمصنع,300.0,,
351,2025-09-09,قيد يدوي رقم 351 - أنشئ بواسطة Kashif Ali,3202,جاري الشريك سالم بالحارث,,300.0,
495,2025-09-09,قيد يدوي رقم 495 - أنشئ بواسطة Kashif Ali,5219,مصروف نقل ومواصلات,740.0,,
495,2025-09-09,قيد يدوي رقم 495 - أنشئ بواسطة Kashif Ali,5219,مصروف نقل ومواصلات,1500.0,,
495,2025-09-09,قيد يدوي رقم 495 - أنشئ بواسطة Kashif Ali,1107,شركة يسم للتجارة,,740.0,
495,2025-09-09,قيد يدوي رقم 495 - أنشئ بواسطة Kashif Ali,1107,شركة يسم للتجارة,,1500.0,
352,2025-09-10,قيد يدوي رقم 352 - أنشئ بواسطة Kashif Ali,5216,مصاريف صيانه عامه بالمصنع,1500.0,,
352,2025-09-10,قيد يدوي رقم 352 - أنشئ بواسطة Kashif Ali,3202,جاري الشريك سالم بالحارث,,1500.0,
353,2025-09-10,قيد يدوي رقم 353 - أنشئ بواسطة Kashif Ali,5105,مصاريف وقود سيارات للموظفين,185.0,,
353,2025-09-10,قيد يدوي رقم 353 - أنشئ بواسطة Kashif Ali,5206,تذاكر سفر,254.0,,
353,2025-09-10,قيد يدوي رقم 353 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,439.0,
354,2025-09-10,قيد يدوي رقم 354 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,2500.0,,
354,2025-09-10,قيد يدوي رقم 354 - أنشئ بواسطة Kashif Ali,3202,جاري الشريك سالم بالحارث,,2500.0,
355,2025-09-11,قيد يدوي رقم 355 - أنشئ بواسطة Kashif Ali,5216,مصاريف صيانه عامه بالمصنع,240.0,,
355,2025-09-11,قيد يدوي رقم 355 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,240.0,
356,2025-09-11,قيد يدوي رقم 356 - أنشئ بواسطة Kashif Ali,5206,تذاكر سفر,50.0,,
356,2025-09-11,قيد يدوي رقم 356 - أنشئ بواسطة Kashif Ali,5219,مصروف نقل ومواصلات,500.0,,
356,2025-09-11,قيد يدوي رقم 356 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,550.0,
356,2025-09-11,قيد يدوي رقم 356 - أنشئ بواسطة Kashif Ali,5220,مصاريف سكن عمال المصنع,1100.0,,purchase beds and mattress for staff
356,2025-09-11,قيد يدوي رقم 356 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,1100.0,purchase beds and mattress for staff
357,2025-09-11,قيد يدوي رقم 357 - أنشئ بواسطة Kashif Ali,5216,مصاريف صيانه عامه بالمصنع,330.0,,
357,2025-09-11,قيد يدوي رقم 357 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,330.0,
358,2025-09-11,قيد يدوي رقم 358 - أنشئ بواسطة Kashif Ali,5206,تذاكر سفر,150.0,,
358,2025-09-11,قيد يدوي رقم 358 - أنشئ بواسطة Kashif Ali,3202,جاري الشريك سالم بالحارث,,150.0,
498,2025-09-11,قيد يدوي رقم 498 - أنشئ بواسطة Kashif Ali,5101,تكلفة البضائع المباعة الأجزاء,5000.0,,
498,2025-09-11,قيد يدوي رقم 498 - أنشئ بواسطة Kashif Ali,1107,شركة يسم للتجارة,,5000.0,
359,2025-09-13,قيد يدوي رقم 359 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,2000.0,,
359,2025-09-13,قيد يدوي رقم 359 - أنشئ بواسطة Kashif Ali,1107,شركة يسم للتجارة,,2000.0,
360,2025-09-13,قيد يدوي رقم 360 - أنشئ بواسطة Kashif Ali,5211,مصاريف مكتبية ومطبوعات,275.0,,
360,2025-09-13,قيد يدوي رقم 360 - أنشئ بواسطة Kashif Ali,1107,شركة يسم للتجارة,,275.0,
361,2025-09-13,قيد يدوي رقم 361 - أنشئ بواسطة Kashif Ali,5101,تكلفة البضائع المباعة الأجزاء,900.0,,
361,2025-09-13,قيد يدوي رقم 361 - أنشئ بواسطة Kashif Ali,1107,شركة يسم للتجارة,,900.0,
362,2025-09-13,قيد يدوي رقم 362 - أنشئ بواسطة Kashif Ali,1205,مصاريف التاسيس,3500.0,,
362,2025-09-13,قيد يدوي رقم 362 - أنشئ بواسطة Kashif Ali,1107,شركة يسم للتجارة,,3500.0,
363,2025-09-13,قيد يدوي رقم 363 - أنشئ بواسطة Kashif Ali,5217,مصاريف مياه وكهرباء,2129.0,,
363,2025-09-13,قيد يدوي رقم 363 - أنشئ بواسطة Kashif Ali,3202,جاري الشريك سالم بالحارث,,2129.0,
364,2025-09-13,قيد يدوي رقم 364 - أنشئ بواسطة Kashif Ali,5101,تكلفة البضائع المباعة الأجزاء,2100.0,,
364,2025-09-13,قيد يدوي رقم 364 - أنشئ بواسطة Kashif Ali,3202,جاري الشريك سالم بالحارث,,2100.0,
371,2025-09-13,قيد يدوي رقم 371 - أنشئ بواسطة Kashif Ali,5216,مصاريف صيانه عامه بالمصنع,340.0,,
371,2025-09-13,قيد يدوي رقم 371 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,340.0,
365,2025-09-14,قيد يدوي رقم 365 - أنشئ بواسطة Kashif Ali,5101,تكلفة البضائع المباعة الأجزاء,20000.0,,
365,2025-09-14,قيد يدوي رقم 365 - أنشئ بواسطة Kashif Ali,3202,جاري الشريك سالم بالحارث,,20000.0,
366,2025-09-14,قيد يدوي رقم 366 - أنشئ بواسطة Kashif Ali,120104,أجهزة مكتبية وطابعات,2331.0,,
366,2025-09-14,قيد يدوي رقم 366 - أنشئ بواسطة Kashif Ali,1107,شركة يسم للتجارة,,2331.0,
492,2025-09-14,قيد يدوي رقم 492 - أنشئ بواسطة Kashif Ali,5102,رواتب وأجور,2000.0,,
492,2025-09-14,قيد يدوي رقم 492 - أنشئ بواسطة Kashif Ali,1107,شركة يسم للتجارة,,2000.0,
367,2025-09-16,قيد يدوي رقم 367 - أنشئ بواسطة Kashif Ali,5206,تذاكر سفر,1630.0,,
367,2025-09-16,قيد يدوي رقم 367 - أنشئ بواسطة Kashif Ali,3202,جاري الشريك سالم بالحارث,,1630.0,
368,2025-09-16,قيد يدوي رقم 368 - أنشئ بواسطة Kashif Ali,5105,مصاريف وقود سيارات للموظفين,200.0,,Deisel 
368,2025-09-16,قيد يدوي رقم 368 - أنشئ بواسطة Kashif Ali,5105,مصاريف وقود سيارات للموظفين,200.0,,Petrol
368,2025-09-16,قيد يدوي رقم 368 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,400.0,
372,2025-09-17,قيد يدوي رقم 372 - أنشئ بواسطة Kashif Ali,5223,نفقات الإنترنت,350.0,,
372,2025-09-17,قيد يدوي رقم 372 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,350.0,
373,2025-09-17,قيد يدوي رقم 373 - أنشئ بواسطة Kashif Ali,5216,مصاريف صيانه عامه بالمصنع,200.0,,
373,2025-09-17,قيد يدوي رقم 373 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,200.0,
384,2025-09-17,قيد يدوي رقم 384 - أنشئ بواسطة Kashif Ali,5206,تذاكر سفر,102.0,,
384,2025-09-17,قيد يدوي رقم 384 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,102.0,
369,2025-09-18,قيد يدوي رقم 369 - أنشئ بواسطة Kashif Ali,5105,مصاريف وقود سيارات للموظفين,200.0,,Brookline Machine
369,2025-09-18,قيد يدوي رقم 369 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,291.0,
369,2025-09-18,قيد يدوي رقم 369 - أنشئ بواسطة Kashif Ali,5206,تذاكر سفر,91.0,,Islam Car
370,2025-09-18,قيد يدوي رقم 370 - أنشئ بواسطة Kashif Ali,110507,مراد درويس,300.0,,
370,2025-09-18,قيد يدوي رقم 370 - أنشئ بواسطة Kashif Ali,110506,أمير حسن كليب,300.0,,
370,2025-09-18,قيد يدوي رقم 370 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,600.0,
374,2025-09-18,قيد يدوي رقم 374 - أنشئ بواسطة Kashif Ali,5219,مصروف نقل ومواصلات,400.0,,
374,2025-09-18,قيد يدوي رقم 374 - أنشئ بواسطة Kashif Ali,1107,شركة يسم للتجارة,,400.0,
375,2025-09-18,قيد يدوي رقم 375 - أنشئ بواسطة Kashif Ali,110108,عهدة كاش عمران الشيخ,5000.0,,
375,2025-09-18,قيد يدوي رقم 375 - أنشئ بواسطة Kashif Ali,1107,شركة يسم للتجارة,,5000.0,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,22.0,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,5206,تذاكر سفر,22.0,,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,1103,المدينون,4000.0,,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,2105,ضريبة القيمة المضافة المستحقة,,65.22,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,2105,ضريبة القيمة المضافة المستحقة,,456.52,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,4101,إيرادات قطع الغيار,,434.78,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,4101,إيرادات قطع الغيار,,3043.48,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,110201,حساب البنك الاهلي 12300001016808,2000.0,,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,1103,المدينون,,2000.0,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,110102,عهدة سالم,2000.0,,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,1103,المدينون,,2000.0,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,22.0,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,5206,تذاكر سفر,22.0,,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,1103,المدينون,4000.0,,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,2105,ضريبة القيمة المضافة المستحقة,,65.22,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,2105,ضريبة القيمة المضافة المستحقة,,456.52,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,4101,إيرادات قطع الغيار,,434.78,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,4101,إيرادات قطع الغيار,,3043.48,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,110201,حساب البنك الاهلي 12300001016808,2000.0,,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,1103,المدينون,,2000.0,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,110102,عهدة سالم,2000.0,,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,1103,المدينون,,2000.0,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,22.0,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,5206,تذاكر سفر,22.0,,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,1103,المدينون,4000.0,,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,2105,ضريبة القيمة المضافة المستحقة,,65.22,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,2105,ضريبة القيمة المضافة المستحقة,,456.52,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,4101,إيرادات قطع الغيار,,434.78,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,4101,إيرادات قطع الغيار,,3043.48,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,110201,حساب البنك الاهلي 12300001016808,2000.0,,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,1103,المدينون,,2000.0,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,110102,عهدة سالم,2000.0,,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,1103,المدينون,,2000.0,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,22.0,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,5206,تذاكر سفر,22.0,,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,1103,المدينون,4000.0,,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,2105,ضريبة القيمة المضافة المستحقة,,65.22,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,2105,ضريبة القيمة المضافة المستحقة,,456.52,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,4101,إيرادات قطع الغيار,,434.78,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,4101,إيرادات قطع الغيار,,3043.48,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,110201,حساب البنك الاهلي 12300001016808,2000.0,,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,1103,المدينون,,2000.0,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,110102,عهدة سالم,2000.0,,
401,2025-09-18,قيد يدوي رقم 401 - أنشئ بواسطة Kashif Ali,1103,المدينون,,2000.0,
379,2025-09-20,قيد يدوي رقم 379 - أنشئ بواسطة Kashif Ali,110107,عهدة كاش علاء الدين,1000.0,,
379,2025-09-20,قيد يدوي رقم 379 - أنشئ بواسطة Kashif Ali,110102,عهدة سالم,,1000.0,
380,2025-09-20,قيد يدوي رقم 380 - أنشئ بواسطة Kashif Ali,5211,مصاريف مكتبية ومطبوعات,45.0,,
380,2025-09-20,قيد يدوي رقم 380 - أنشئ بواسطة Kashif Ali,1107,شركة يسم للتجارة,,45.0,
381,2025-09-20,قيد يدوي رقم 381 - أنشئ بواسطة Kashif Ali,110108,عهدة كاش عمران الشيخ,500.0,,
381,2025-09-20,قيد يدوي رقم 381 - أنشئ بواسطة Kashif Ali,1107,شركة يسم للتجارة,,500.0,
382,2025-09-20,قيد يدوي رقم 382 - أنشئ بواسطة Kashif Ali,2105,ضريبة القيمة المضافة المستحقة,182.61,,1-16182
382,2025-09-20,قيد يدوي رقم 382 - أنشئ بواسطة Kashif Ali,120103,المعدات,1217.39,,Taufeeq Modern Elctronics
382,2025-09-20,قيد يدوي رقم 382 - أنشئ بواسطة Kashif Ali,2105,ضريبة القيمة المضافة المستحقة,339.13,,3694
382,2025-09-20,قيد يدوي رقم 382 - أنشئ بواسطة Kashif Ali,120103,المعدات,2260.87,,Meezan size 3 ton
382,2025-09-20,قيد يدوي رقم 382 - أنشئ بواسطة Kashif Ali,5219,مصروف نقل ومواصلات,520.0,,
382,2025-09-20,قيد يدوي رقم 382 - أنشئ بواسطة Kashif Ali,5216,مصاريف صيانه عامه بالمصنع,680.0,,
382,2025-09-20,قيد يدوي رقم 382 - أنشئ بواسطة Kashif Ali,110108,عهدة كاش عمران الشيخ,,5200.0,
383,2025-09-20,قيد يدوي رقم 383 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,2000.0,,
383,2025-09-20,قيد يدوي رقم 383 - أنشئ بواسطة Kashif Ali,1107,شركة يسم للتجارة,,2000.0,
385,2025-09-20,قيد يدوي رقم 385 - أنشئ بواسطة Kashif Ali,5216,مصاريف صيانه عامه بالمصنع,190.0,,
385,2025-09-20,قيد يدوي رقم 385 - أنشئ بواسطة Kashif Ali,5105,مصاريف وقود سيارات للموظفين,97.0,,
385,2025-09-20,قيد يدوي رقم 385 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,287.0,
386,2025-09-21,قيد يدوي رقم 386 - أنشئ بواسطة Kashif Ali,5224,نفقات غاز الأكسجين,30.0,,
386,2025-09-21,قيد يدوي رقم 386 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,30.0,
387,2025-09-21,قيد يدوي رقم 387 - أنشئ بواسطة Kashif Ali,5206,تذاكر سفر,1157.0,,
387,2025-09-21,قيد يدوي رقم 387 - أنشئ بواسطة Kashif Ali,110508,علاء الدين,843.0,,
387,2025-09-21,قيد يدوي رقم 387 - أنشئ بواسطة Kashif Ali,110104,عهدة اشرف الصايغ,,2000.0,
388,2025-09-21,قيد يدوي رقم 388 - أنشئ بواسطة Kashif Ali,5105,مصاريف وقود سيارات للموظفين,95.0,,
388,2025-09-21,قيد يدوي رقم 388 - أنشئ بواسطة Kashif Ali,5214,مصاريف أخرى,16.0,,
388,2025-09-21,قيد يدوي رقم 388 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,111.0,
389,2025-09-22,قيد يدوي رقم 389 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,2000.0,,
389,2025-09-22,قيد يدوي رقم 389 - أنشئ بواسطة Kashif Ali,1107,شركة يسم للتجارة,,2000.0,
390,2025-09-22,قيد يدوي رقم 390 - أنشئ بواسطة Kashif Ali,5101,تكلفة البضائع المباعة الأجزاء,2000.0,,
390,2025-09-22,قيد يدوي رقم 390 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,2000.0,
391,2025-09-22,قيد يدوي رقم 391 - أنشئ بواسطة Kashif Ali,5214,مصاريف أخرى,500.0,,
391,2025-09-22,قيد يدوي رقم 391 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,500.0,
392,2025-09-22,قيد يدوي رقم 392 - أنشئ بواسطة Kashif Ali,5216,مصاريف صيانه عامه بالمصنع,245.0,,
392,2025-09-22,قيد يدوي رقم 392 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,245.0,
393,2025-09-22,قيد يدوي رقم 393 - أنشئ بواسطة Kashif Ali,5105,مصاريف وقود سيارات للموظفين,200.0,,
393,2025-09-22,قيد يدوي رقم 393 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,200.0,
493,2025-09-22,قيد يدوي رقم 493 - أنشئ بواسطة Kashif Ali,120105,مركبات,5000.0,,
493,2025-09-22,قيد يدوي رقم 493 - أنشئ بواسطة Kashif Ali,1107,شركة يسم للتجارة,,5000.0,
394,2025-09-23,قيد يدوي رقم 394 - أنشئ بواسطة Kashif Ali,5216,مصاريف صيانه عامه بالمصنع,1465.0,,
394,2025-09-23,قيد يدوي رقم 394 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,1465.0,
395,2025-09-23,قيد يدوي رقم 395 - أنشئ بواسطة Kashif Ali,5224,نفقات غاز الأكسجين,60.0,,
395,2025-09-23,قيد يدوي رقم 395 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,60.0,
396,2025-09-23,قيد يدوي رقم 396 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,1500.0,,
396,2025-09-23,قيد يدوي رقم 396 - أنشئ بواسطة Kashif Ali,1107,شركة يسم للتجارة,,1500.0,
397,2025-09-24,قيد يدوي رقم 397 - أنشئ بواسطة Kashif Ali,2105,ضريبة القيمة المضافة المستحقة,108.45,,TDN-118781
397,2025-09-24,قيد يدوي رقم 397 - أنشئ بواسطة Kashif Ali,5202,تأمين طبي,723.0,,
397,2025-09-24,قيد يدوي رقم 397 - أنشئ بواسطة Kashif Ali,3202,جاري الشريك سالم بالحارث,,831.45,
398,2025-09-24,قيد يدوي رقم 398 - أنشئ بواسطة Kashif Ali,5225,مصاريف وقود الموظف,85.0,,
398,2025-09-24,قيد يدوي رقم 398 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,85.0,
399,2025-09-25,قيد يدوي رقم 399 - أنشئ بواسطة Kashif Ali,5105,مصاريف وقود سيارات للموظفين,200.0,,
399,2025-09-25,قيد يدوي رقم 399 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,200.0,
400,2025-09-25,قيد يدوي رقم 400 - أنشئ بواسطة Kashif Ali,5216,مصاريف صيانه عامه بالمصنع,250.0,,
400,2025-09-25,قيد يدوي رقم 400 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,250.0,
402,2025-09-25,قيد يدوي رقم 402 - أنشئ بواسطة Kashif Ali,5216,مصاريف صيانه عامه بالمصنع,356.63,,
402,2025-09-25,قيد يدوي رقم 402 - أنشئ بواسطة Kashif Ali,2105,ضريبة القيمة المضافة المستحقة,53.49,,2422 Bashar W M Al Safadi
402,2025-09-25,قيد يدوي رقم 402 - أنشئ بواسطة Kashif Ali,110108,عهدة كاش عمران الشيخ,,410.12,
406,2025-09-25,قيد يدوي رقم 406 - أنشئ بواسطة Kashif Ali,110108,عهدة كاش عمران الشيخ,2000.0,,
406,2025-09-25,قيد يدوي رقم 406 - أنشئ بواسطة Kashif Ali,1107,شركة يسم للتجارة,,2000.0,
407,2025-09-25,قيد يدوي رقم 407 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,250.0,,
407,2025-09-25,قيد يدوي رقم 407 - أنشئ بواسطة Kashif Ali,110108,عهدة كاش عمران الشيخ,,250.0,
417,2025-09-25,قيد يدوي رقم 417 - أنشئ بواسطة Kashif Ali,110104,عهدة اشرف الصايغ,20000.0,,
417,2025-09-25,قيد يدوي رقم 417 - أنشئ بواسطة Kashif Ali,3202,جاري الشريك سالم بالحارث,,20000.0,
435,2025-09-25,قيد يدوي رقم 435 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,600.0,,
435,2025-09-25,قيد يدوي رقم 435 - أنشئ بواسطة Kashif Ali,110108,عهدة كاش عمران الشيخ,,600.0,والة داخلية صادرة من:3134 مبلغ:SAR 600 الى:اسلام درويش  الى:4107 في:25-9-27 10:56
403,2025-09-27,قيد يدوي رقم 403 - أنشئ بواسطة Kashif Ali,5206,تذاكر سفر,390.0,,
403,2025-09-27,قيد يدوي رقم 403 - أنشئ بواسطة Kashif Ali,110102,عهدة سالم,,390.0,
404,2025-09-27,قيد يدوي رقم 404 - أنشئ بواسطة Kashif Ali,5225,مصاريف وقود الموظف,610.0,,
404,2025-09-27,قيد يدوي رقم 404 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,610.0,
405,2025-09-27,قيد يدوي رقم 405 - أنشئ بواسطة Kashif Ali,5206,تذاكر سفر,90.0,,
405,2025-09-27,قيد يدوي رقم 405 - أنشئ بواسطة Kashif Ali,5225,مصاريف وقود الموظف,50.0,,
405,2025-09-27,قيد يدوي رقم 405 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,140.0,
405,2025-09-27,قيد يدوي رقم 405 - أنشئ بواسطة Kashif Ali,1103,المدينون,50.0,,
405,2025-09-27,قيد يدوي رقم 405 - أنشئ بواسطة Kashif Ali,2105,ضريبة القيمة المضافة المستحقة,,6.52,
405,2025-09-27,قيد يدوي رقم 405 - أنشئ بواسطة Kashif Ali,4102,الايرادات من بيع السكراب,,43.48,
405,2025-09-27,قيد يدوي رقم 405 - أنشئ بواسطة Kashif Ali,110101,النقدية في الخزينة,50.0,,
405,2025-09-27,قيد يدوي رقم 405 - أنشئ بواسطة Kashif Ali,1103,المدينون,,50.0,
405,2025-09-27,قيد يدوي رقم 405 - أنشئ بواسطة Kashif Ali,5206,تذاكر سفر,90.0,,
405,2025-09-27,قيد يدوي رقم 405 - أنشئ بواسطة Kashif Ali,5225,مصاريف وقود الموظف,50.0,,
405,2025-09-27,قيد يدوي رقم 405 - أنشئ بواسطة Kashif Ali,110106,عهدة اسلام احمد,,140.0,
405,2025-09-27,قيد يدوي رقم 405 - أنشئ بواسطة Kashif Ali,1103,المدينون,50.0,,
405,2025-09-27,قيد يدوي رقم 405 - أنشئ بواسطة Kashif Ali,2105,ضريبة القيمة المضافة المستحقة,,6.52,
